,acc,loss,lr,val_acc,val_loss
0,0.2519600000190735,2.060863029937744,0.0010000000474974513,0.2928,1.9417850988388061
1,0.31521999999046324,1.8860512568664551,0.0010000000474974513,0.3283,1.8453808799743652
2,0.3359599999904633,1.8347827752304078,0.0010000000474974513,0.3457,1.8138825666427612
3,0.3462400000190735,1.8130952593231202,0.0010000000474974513,0.3409,1.8125944459915162
4,0.35080000000953676,1.7942632625961303,0.0010000000474974513,0.3591,1.7772176710128784
5,0.35789999999523164,1.7811558312225342,0.0010000000474974513,0.3567,1.7821433883666993
6,0.36272000000953675,1.7657044839859009,0.0010000000474974513,0.3713,1.7546152559280395
7,0.37084,1.7521899907684326,0.0010000000474974513,0.3746,1.7425988227844238
8,0.3775999999809265,1.7393701134490966,0.0010000000474974513,0.3769,1.7281264728546142
9,0.3857800000190735,1.7259050242996217,0.0010000000474974513,0.3813,1.7278246715545655
10,0.38529999999046327,1.7205598376846314,0.0010000000474974513,0.3849,1.7250669797897338
11,0.38816000000953677,1.7099906296920777,0.0010000000474974513,0.3914,1.7064245868682861
12,0.39404000000953676,1.702814946746826,0.0010000000474974513,0.3944,1.6998018447875975
13,0.39591999999046323,1.6974582474899291,0.0010000000474974513,0.3943,1.7023773603439332
14,0.39790000000953674,1.6912316877365112,0.0010000000474974513,0.3945,1.7009507947921754
15,0.4,1.6888412809371949,0.0010000000474974513,0.4009,1.6853531888961792
16,0.40048000000953676,1.685329059562683,0.0010000000474974513,0.3783,1.7131580383300782
17,0.4022999999809265,1.6799542963027954,0.0010000000474974513,0.3902,1.6953225145339965
18,0.4015599999809265,1.678615585746765,0.0010000000474974513,0.3828,1.728073987197876
19,0.4049599999809265,1.6754500059509276,0.0010000000474974513,0.392,1.7206726301193238
20,0.40448000000953677,1.6722625359344483,0.0010000000474974513,0.3924,1.677887393951416
21,0.4076799999904633,1.6684542310333252,0.0010000000474974513,0.3908,1.6819483243942261
22,0.4058799999809265,1.6682404626464844,0.0010000000474974513,0.3883,1.6927797840118408
23,0.40648,1.6656776154327393,0.0010000000474974513,0.4076,1.6686259181976317
24,0.4072199999809265,1.6618461996459961,0.0010000000474974513,0.3872,1.69503731880188
25,0.40624,1.6629458539199828,0.0010000000474974513,0.3901,1.6839723794937134
26,0.40975999999046325,1.6555170542144775,0.0010000000474974513,0.4013,1.66350343208313
27,0.40947999999046325,1.65721233253479,0.0010000000474974513,0.3909,1.6793117776870727
28,0.4081000000095367,1.6563802278518678,0.0010000000474974513,0.4088,1.6632933641433716
29,0.4136199999904633,1.6499423267364501,0.0010000000474974513,0.4006,1.654608329963684
